game_id,season,round,date,ts,kickoff_hour,weekday,played,status,home_id,home,away_id,away,hg,ag,h_xa,a_xa,h_xgot,a_xgot,h_saves,a_saves,h_shots,a_shots,h_xgc,a_xgc,h_fouls,a_fouls,h_corners,a_corners,h_red,a_red,h_shots_ib,a_shots_ib,h_attacks,a_attacks,h_sot,a_sot,h_bigch,a_bigch,h_yellow,a_yellow,h_poss,a_poss,h_xg,a_xg,book,odds_H,open_H,odds_D,open_D,odds_A,open_A,h_rest,a_rest,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4215748,142,4,2024-09-27,1727452800.0,20.0,4,True,Ended,8350,Al-Wahda,8345,Baniyas,2.0,2.0,0.54,0.64,2.03,1.51,3.0,4.0,14.0,9.0,1.25,0.98,12.0,9.0,7.0,1.0,0.0,0.0,,,77.0,56.0,6.0,5.0,3.0,3.0,1.0,3.0,62.0,38.0,0.98,1.25,Bet365,1.73,1.53,3.6,4.0,3.8,4.5,5.104166666666667,7.104166666666667,0.96,0.96,0.95,0.62,0.01,0.58,2.04,0.0,14.0,1.2600000000000002,1.2600000000000002,1.2300000000000002,1.2300000000000002,0.03,0.85,1.5100000000000002,0.0,9.0
4215752,142,4,2024-09-28,1727529600.0,17.333333333333332,5,True,Ended,11134,Khor Fakkan,8355,Kalba,0.0,2.0,,,,,3.0,3.0,14.0,11.0,,,16.0,12.0,6.0,3.0,0.0,0.0,,,61.0,54.0,3.0,5.0,2.0,2.0,2.0,3.0,59.0,41.0,,,Bet365,2.88,2.62,3.4,3.4,2.15,2.3,5.993055555555555,,1.2800000000000002,1.2800000000000002,0.9400000000000004,0.42,0.3399999999999999,0.6500000000000001,0.75,0.0,14.0,0.6799999999999999,0.6799999999999999,0.57,0.55,0.11,0.22,1.83,0.0,11.0
4215753,142,4,2024-09-28,1727539200.0,20.0,5,True,Ended,8344,Jazira Abu Dhabi,8349,Al Nasr Dubai,3.0,1.0,,,,,2.0,3.0,14.0,21.0,,,18.0,8.0,5.0,9.0,0.0,0.0,,,53.0,66.0,5.0,3.0,2.0,1.0,2.0,2.0,31.0,69.0,,,Bet365,2.25,2.3,3.4,3.4,2.75,2.62,7.104166666666667,7.0,2.22,1.4300000000000002,1.4300000000000002,1.3600000000000003,0.0,0.0,2.85,1.0,15.0,1.02,1.02,0.95,0.83,0.07,0.02,0.27,0.0,21.0
4215754,142,5,2024-10-05,1728133800.0,17.166666666666668,5,True,Ended,8349,Al Nasr Dubai,8652,Ajman Club,3.0,1.0,,,,,4.0,3.0,10.0,7.0,,,15.0,21.0,3.0,4.0,0.0,0.0,,,61.0,50.0,6.0,5.0,2.0,3.0,4.0,6.0,59.0,41.0,,,Bet365,1.83,1.67,4.0,4.1,3.3,3.7,6.881944444444445,7.993055555555555,1.53,1.53,1.53,1.35,0.0,0.49,2.2,0.0,10.0,0.5199999999999999,0.5199999999999999,0.4499999999999999,0.4499999999999999,0.07,0.26,1.6,0.0,7.0
4215755,142,5,2024-10-05,1728133800.0,17.166666666666668,5,True,Ended,10904,Dubba Al Husun,8344,Jazira Abu Dhabi,1.0,6.0,,,,,4.0,4.0,11.0,14.0,,,8.0,9.0,7.0,3.0,0.0,0.0,,,86.0,89.0,5.0,9.0,0.0,8.0,1.0,1.0,37.0,63.0,,,Bet365,5.25,3.25,4.5,3.9,1.44,1.83,7.993055555555555,6.881944444444445,0.3,0.3,0.24,0.1999999999999999,0.06,0.0,0.7000000000000001,0.0,11.0,4.42,3.63,2.73,1.7000000000000002,0.8999999999999999,1.61,5.430000000000001,1.0,14.0
4215756,142,5,2024-10-05,1728143100.0,19.75,5,True,Ended,8355,Kalba,57374,Al Bataeh,3.0,0.0,0.46,1.4,2.04,0.81,5.0,4.0,11.0,21.0,1.21,0.75,5.0,10.0,0.0,10.0,0.0,0.0,,,73.0,102.0,7.0,5.0,0.0,1.0,4.0,1.0,28.0,72.0,0.75,1.21,Bet365,1.91,2.5,3.6,3.4,3.3,2.4,7.100694444444445,9.100694444444445,0.7600000000000001,0.7600000000000001,0.7600000000000001,0.7500000000000001,0.0,0.09,2.05,0.0,11.0,1.2300000000000002,1.2300000000000002,1.09,0.8700000000000001,0.14,0.26,0.81,0.0,21.0
4215757,142,5,2024-10-05,1728143100.0,19.75,5,True,Ended,8346,Al Wasl,11134,Khor Fakkan,3.0,4.0,0.88,1.3,1.07,2.19,3.0,2.0,14.0,16.0,1.63,1.16,15.0,14.0,3.0,3.0,1.0,0.0,,,78.0,98.0,4.0,7.0,2.0,1.0,2.0,6.0,40.0,60.0,1.16,1.63,Bet365,1.33,1.2,5.75,7.0,5.75,8.0,8.989583333333334,7.100694444444445,1.1700000000000002,1.1700000000000002,1.1700000000000002,1.0200000000000002,0.0,0.28,1.08,0.0,14.0,1.64,1.64,1.61,1.07,0.03,0.8300000000000001,2.19,0.0,17.0
4215758,142,5,2024-10-06,1728220200.0,17.166666666666668,6,True,Ended,8345,Baniyas,8347,Shabab Al Ahly,1.0,5.0,0.24,2.77,0.77,2.76,4.0,1.0,3.0,25.0,3.11,0.28,8.0,16.0,0.0,8.0,1.0,0.0,,,61.0,131.0,2.0,8.0,1.0,4.0,1.0,2.0,32.0,68.0,0.28,3.11,Bet365,3.5,4.5,4.2,4.33,1.73,1.53,8.881944444444445,8.993055555555555,0.29,0.29,0.29,0.29,0.0,0.03,0.76,0.0,4.0,3.24,2.45,2.3800000000000003,2.140000000000001,0.07,0.74,2.8000000000000003,1.0,26.0
4215759,142,5,2024-10-06,1728229500.0,19.75,6,True,Ended,8353,Al Ain,8350,Al-Wahda,1.0,2.0,0.79,0.37,0.74,1.95,3.0,5.0,17.0,8.0,1.35,0.82,11.0,12.0,14.0,1.0,0.0,0.0,,,134.0,49.0,6.0,5.0,1.0,2.0,3.0,3.0,71.0,29.0,0.82,1.35,Bet365,1.65,2.2,3.7,3.4,4.2,2.75,9.989583333333334,8.989583333333334,0.8900000000000001,0.8900000000000001,0.8800000000000001,0.6200000000000001,0.01,0.3,0.89,0.0,18.0,1.3800000000000003,0.5900000000000001,0.5900000000000001,0.31,0.0,0.45,1.96,1.0,8.0
4215760,142,5,2024-10-06,1728229500.0,19.75,6,True,Ended,8351,Sharjah SC,11565,Al Urooba,2.0,1.0,0.54,0.2,1.9,0.89,0.0,4.0,13.0,7.0,0.38,1.89,12.0,16.0,10.0,2.0,0.0,1.0,,,71.0,70.0,6.0,1.0,3.0,1.0,2.0,4.0,56.0,44.0,1.89,0.38,Bet365,1.14,1.17,8.0,7.0,12.0,9.5,10.100694444444445,9.100694444444445,1.9,0.32,0.29,0.24,0.03,0.26,1.91,2.0,13.0,0.38,0.38,0.34,0.34,0.04,0.13,0.89,0.0,7.0
4224199,142,6,2024-10-25,1729860900.0,16.916666666666668,4,True,Ended,8353,Al Ain,10904,Dubba Al Husun,1.0,1.0,,,,,,,,,,,,,6.0,2.0,0.0,0.0,,,81.0,62.0,2.0,6.0,,,0.0,1.0,35.0,65.0,,,Bet365,1.36,1.3,4.75,5.5,6.5,6.0,18.881944444444443,19.989583333333332,,,,,,,,,,,,,,,,,,
4224403,142,6,2024-10-25,1729870200.0,19.5,4,True,Ended,8350,Al-Wahda,8355,Kalba,3.0,1.0,1.52,0.4,1.79,0.72,1.0,1.0,9.0,5.0,0.29,0.87,12.0,11.0,6.0,1.0,0.0,0.0,,,63.0,59.0,4.0,2.0,1.0,1.0,3.0,1.0,62.0,38.0,0.87,0.29,Bet365,1.7,1.8,4.33,4.0,3.6,3.25,18.989583333333332,19.989583333333332,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.0,0.2,1.79,0.0,9.0,0.29,0.29,0.26,0.26,0.03,0.13,0.72,0.0,5.0
4225051,142,6,2024-10-26,1729947300.0,16.916666666666668,5,True,Ended,11565,Al Urooba,8345,Baniyas,1.0,0.0,,,,,1.0,3.0,5.0,7.0,,,5.0,8.0,3.0,2.0,0.0,0.0,,,91.0,103.0,4.0,1.0,1.0,0.0,3.0,0.0,40.0,60.0,,,Bet365,3.6,5.0,3.3,4.0,1.9,1.5,19.881944444444443,19.989583333333332,0.74,0.74,0.32,0.32,0.42,0.42,1.27,0.0,5.0,0.14,0.14,0.14,0.14,0.0,0.0,0.02,0.0,7.0
4225052,142,6,2024-10-26,1729956600.0,19.5,5,True,Ended,8344,Jazira Abu Dhabi,11134,Khor Fakkan,4.0,2.0,,,,,1.0,1.0,8.0,5.0,,,3.0,1.0,0.0,2.0,0.0,0.0,,,92.0,75.0,6.0,3.0,1.0,1.0,2.0,2.0,59.0,41.0,,,Bet365,1.42,1.62,4.5,4.0,5.25,4.0,21.09722222222222,20.989583333333332,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.51,0.0,0.08,1.37,0.0,7.0,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.0,0.0,0.8400000000000001,0.0,4.0
4225053,142,6,2024-10-26,1729956600.0,19.5,5,True,Ended,8652,Ajman Club,8346,Al Wasl,0.0,0.0,,,,,1.0,0.0,2.0,10.0,,,3.0,3.0,1.0,0.0,0.0,0.0,,,36.0,34.0,0.0,1.0,0.0,0.0,3.0,3.0,53.0,47.0,,,Bet365,4.0,5.5,4.0,4.5,1.62,1.4,21.09722222222222,20.989583333333332,0.06,0.06,0.06,0.06,0.0,0.06,0.0,0.0,2.0,0.6800000000000002,0.6800000000000002,0.6800000000000002,0.53,0.0,0.6800000000000002,0.01,0.0,10.0
4225855,142,6,2024-10-27,1730033700.0,16.916666666666668,6,True,Ended,57374,Al Bataeh,8349,Al Nasr Dubai,3.0,4.0,0.67,2.06,1.93,3.8,4.0,1.0,9.0,21.0,2.57,1.27,9.0,9.0,2.0,10.0,1.0,0.0,,,82.0,128.0,4.0,7.0,2.0,4.0,3.0,2.0,29.0,71.0,1.27,2.57,Bet365,4.2,4.33,4.0,4.0,1.57,1.57,21.881944444444443,21.989583333333332,1.2800000000000002,0.49,0.43,0.41,0.06,0.02,1.93,1.0,10.0,2.5600000000000005,1.7700000000000002,1.64,1.56,0.13,0.21,3.8,1.0,21.0
4225856,142,6,2024-10-27,1730043000.0,19.5,6,True,Ended,8347,Shabab Al Ahly,8351,Sharjah SC,2.0,1.0,0.72,0.46,1.7,0.21,1.0,2.0,11.0,6.0,0.4,1.65,16.0,21.0,2.0,8.0,1.0,1.0,,,82.0,75.0,4.0,2.0,2.0,0.0,5.0,5.0,56.0,44.0,1.65,0.4,Bet365,2.0,1.8,3.6,4.0,3.0,3.25,21.09722222222222,20.989583333333332,1.65,0.8600000000000001,0.8600000000000001,0.7200000000000001,0.0,0.75,1.7,1.0,11.0,0.41,0.41,0.28,0.28,0.13,0.18,0.22,0.0,6.0
4248779,142,7,2024-10-31,1730379000.0,16.833333333333332,3,True,Ended,8345,Baniyas,8351,Sharjah SC,1.0,4.0,1.44,1.01,0.8,3.06,1.0,1.0,7.0,10.0,3.31,0.91,13.0,12.0,4.0,0.0,0.0,0.0,,,71.0,79.0,2.0,5.0,1.0,3.0,3.0,1.0,49.0,51.0,0.91,3.31,Bet365,5.0,4.33,4.0,4.1,1.55,1.55,4.996527777777778,3.888888888888889,0.91,0.91,0.88,0.88,0.03,0.36,0.8,0.0,7.0,3.329999999999999,2.54,2.47,2.47,0.07,1.16,3.0499999999999994,1.0,10.0
4248783,142,7,2024-10-31,1730388600.0,19.5,3,True,Ended,8346,Al Wasl,8344,Jazira Abu Dhabi,2.0,2.0,1.83,0.98,2.53,1.49,3.0,7.0,17.0,11.0,0.87,2.12,12.0,12.0,6.0,9.0,0.0,1.0,,,80.0,81.0,9.0,5.0,2.0,1.0,2.0,2.0,50.0,50.0,2.12,0.87,Bet365,1.8,1.8,4.5,4.33,3.1,3.1,5.0,5.0,2.18,2.18,2.12,1.58,0.06,1.33,2.54,0.0,17.0,0.8700000000000001,0.8700000000000001,0.79,0.78,0.08,0.6200000000000001,1.5,0.0,11.0
4248780,142,7,2024-11-01,1730465400.0,16.833333333333332,4,True,Ended,8355,Kalba,11565,Al Urooba,3.0,0.0,1.54,0.57,2.11,0.15,2.0,3.0,18.0,10.0,0.39,1.74,6.0,6.0,5.0,5.0,0.0,0.0,,,92.0,114.0,7.0,2.0,2.0,0.0,0.0,0.0,44.0,56.0,1.74,0.39,Bet365,1.6,1.57,3.9,4.0,4.75,4.33,6.888888888888889,5.996527777777778,1.7600000000000002,0.9700000000000002,0.7200000000000002,0.7000000000000002,0.25,0.04,2.1099999999999994,1.0,18.0,0.51,0.51,0.51,0.21,0.0,0.0,0.24,0.0,11.0
4248782,142,7,2024-11-01,1730475000.0,19.5,4,True,Ended,8349,Al Nasr Dubai,8350,Al-Wahda,0.0,0.0,0.85,0.8,0.55,0.0,0.0,4.0,8.0,13.0,0.74,0.52,8.0,8.0,6.0,4.0,0.0,0.0,,,67.0,90.0,4.0,0.0,2.0,0.0,2.0,0.0,35.0,65.0,0.52,0.74,Bet365,2.2,2.15,3.75,3.7,2.6,2.7,5.107638888888889,7.0,0.5099999999999999,0.5099999999999999,0.5099999999999999,0.26,0.0,0.5099999999999999,0.55,0.0,8.0,0.7200000000000001,0.7200000000000001,0.68,0.6000000000000001,0.04,0.7200000000000001,0.0,0.0,13.0
4248784,142,7,2024-11-02,1730551800.0,16.833333333333332,5,True,Ended,11134,Khor Fakkan,10904,Dubba Al Husun,1.0,1.0,1.25,0.52,0.58,0.37,1.0,2.0,15.0,11.0,0.9,0.61,17.0,15.0,5.0,3.0,0.0,0.0,,,85.0,65.0,4.0,2.0,0.0,0.0,2.0,4.0,64.0,36.0,0.61,0.9,Bet365,1.67,1.3,4.2,5.5,3.6,6.0,6.888888888888889,7.996527777777778,0.6000000000000001,0.6000000000000001,0.56,0.55,0.04,0.21,0.5800000000000001,0.0,15.0,0.88,0.88,0.7100000000000001,0.64,0.17,0.35,0.37,0.0,11.0
4248785,142,7,2024-11-02,1730561400.0,19.5,5,True,Ended,8652,Ajman Club,57374,Al Bataeh,2.0,1.0,0.91,0.95,1.38,0.39,3.0,2.0,14.0,15.0,0.79,0.86,15.0,13.0,6.0,2.0,0.0,0.0,,,76.0,71.0,4.0,4.0,1.0,1.0,3.0,1.0,52.0,48.0,0.86,0.79,Bet365,1.75,1.73,3.9,4.0,3.5,3.5,7.0,6.107638888888889,1.08,1.08,1.08,1.04,0.0,0.7000000000000001,1.83,0.0,15.0,0.7800000000000001,0.7800000000000001,0.7500000000000001,0.5700000000000001,0.03,0.7800000000000001,0.3999999999999999,0.0,15.0
4290694,142,8,2024-11-10,1731242700.0,16.75,6,False,Postponed,11565,Al Urooba,8353,Al Ain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.996527777777779,15.993055555555555,,,,,,,,,,,,,,,,,,
4290695,142,8,2024-11-10,1731242700.0,16.75,6,False,Postponed,8347,Shabab Al Ahly,8355,Kalba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.885416666666666,8.996527777777779,,,,,,,,,,,,,,,,,,
4290696,142,8,2024-11-10,1731252600.0,19.5,6,False,Postponed,8351,Sharjah SC,8349,Al Nasr Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11111111111111,9.0,,,,,,,,,,,,,,,,,,
4248789,142,8,2024-11-21,1732192800.0,16.666666666666668,3,True,Ended,57374,Al Bataeh,11134,Khor Fakkan,1.0,3.0,1.41,1.18,0.89,1.91,2.0,3.0,11.0,13.0,2.91,0.99,12.0,7.0,7.0,2.0,0.0,0.0,,,102.0,101.0,4.0,6.0,0.0,5.0,4.0,1.0,57.0,43.0,0.99,2.91,Bet365,2.35,2.1,3.7,3.75,2.4,2.7,18.881944444444443,18.993055555555557,0.82,0.82,0.69,0.5700000000000001,0.13,0.03,0.89,0.0,11.0,2.9599999999999995,2.1699999999999995,2.01,1.2100000000000002,0.16,1.05,1.91,1.0,14.0
4248791,142,8,2024-11-21,1732203000.0,19.5,3,True,Ended,11565,Al Urooba,8353,Al Ain,2.0,4.0,0.62,2.13,1.39,5.18,5.0,2.0,13.0,19.0,3.37,1.77,10.0,12.0,3.0,6.0,0.0,0.0,,,52.0,64.0,4.0,9.0,2.0,7.0,2.0,1.0,41.0,59.0,1.77,3.37,Bet365,5.5,6.0,5.5,5.5,1.38,1.3,20.11111111111111,27.10763888888889,1.7700000000000002,1.7700000000000002,1.7600000000000002,1.16,0.01,0.0,1.39,0.0,13.0,3.41,3.41,2.870000000000001,1.81,0.54,0.4499999999999999,5.170000000000001,0.0,19.0
4248790,142,8,2024-11-22,1732279200.0,16.666666666666668,4,True,Ended,8347,Shabab Al Ahly,8355,Kalba,0.0,0.0,,,,,0.0,3.0,19.0,5.0,,,12.0,14.0,11.0,1.0,0.0,0.0,,,76.0,62.0,3.0,0.0,1.0,0.0,3.0,4.0,77.0,23.0,,,Bet365,1.29,1.36,5.5,4.75,7.5,6.0,25.881944444444443,20.993055555555557,1.98,1.1900000000000002,1.14,1.14,0.05,1.1900000000000002,0.29,1.0,19.0,0.17,0.17,0.06,0.06,0.11,0.17,0.0,0.0,5.0
4248792,142,8,2024-11-22,1732279200.0,16.666666666666668,4,True,Ended,8351,Sharjah SC,8349,Al Nasr Dubai,3.0,0.0,0.96,0.73,2.27,0.66,1.0,3.0,15.0,11.0,0.91,1.3,12.0,12.0,5.0,4.0,0.0,0.0,,,91.0,87.0,6.0,1.0,3.0,0.0,2.0,2.0,46.0,54.0,1.3,0.91,Bet365,1.65,1.85,3.9,3.6,4.0,3.4,21.993055555555557,20.881944444444443,1.3400000000000003,1.3400000000000003,1.2100000000000002,1.14,0.13,0.4,2.28,0.0,15.0,0.9200000000000002,0.9200000000000002,0.8600000000000001,0.8500000000000001,0.06,0.0,0.66,0.0,11.0
4248788,142,8,2024-11-22,1732289400.0,19.5,4,True,Ended,8350,Al-Wahda,8346,Al Wasl,2.0,2.0,0.99,1.71,2.35,0.91,2.0,4.0,13.0,9.0,0.55,1.3,10.0,9.0,4.0,7.0,0.0,1.0,,,91.0,68.0,5.0,4.0,2.0,1.0,1.0,3.0,61.0,39.0,1.3,0.55,Bet365,2.75,2.7,3.5,3.75,2.15,2.1,21.0,22.0,1.37,1.37,1.12,1.12,0.25,1.26,2.35,0.0,14.0,0.55,0.55,0.55,0.53,0.0,0.42,0.91,0.0,9.0
4248786,142,8,2024-11-23,1732365600.0,16.666666666666668,5,True,Ended,10904,Dubba Al Husun,8345,Baniyas,1.0,0.0,,,,,3.0,0.0,5.0,13.0,,,12.0,14.0,4.0,7.0,0.0,0.0,,,71.0,114.0,1.0,3.0,0.0,2.0,4.0,1.0,43.0,57.0,,,Bet365,3.7,3.2,3.7,3.6,1.75,1.91,20.993055555555557,22.993055555555557,0.49,0.49,0.49,0.47,0.0,0.17,0.94,0.0,5.0,0.68,0.68,0.56,0.48,0.12,0.26,0.23,0.0,13.0
4248787,142,8,2024-11-23,1732375800.0,19.5,5,True,Ended,8344,Jazira Abu Dhabi,8652,Ajman Club,4.0,0.0,0.73,0.3,1.95,0.14,3.0,2.0,12.0,8.0,0.47,1.56,12.0,17.0,4.0,2.0,0.0,0.0,,,112.0,85.0,6.0,3.0,3.0,0.0,0.0,2.0,55.0,45.0,1.56,0.47,Bet365,1.65,1.38,3.9,4.5,4.1,6.0,23.0,21.0,1.58,1.58,1.4900000000000002,1.12,0.09,0.67,1.95,0.0,12.0,0.4800000000000001,0.4800000000000001,0.31,0.19,0.1699999999999999,0.12,0.15,0.0,10.0
4289100,142,9,2024-12-07,1733575500.0,16.75,5,True,Ended,8350,Al-Wahda,11565,Al Urooba,3.0,0.0,,,,,,,,,,,,,2.0,6.0,0.0,0.0,,,109.0,79.0,10.0,3.0,,,1.0,2.0,59.0,41.0,,,Bet365,1.29,1.25,5.75,6.0,7.0,8.0,14.885416666666666,15.885416666666666,,,,,,,,,,,,,,,,,,
4289098,142,9,2024-12-07,1733585400.0,19.5,5,True,Ended,8353,Al Ain,8345,Baniyas,4.0,0.0,2.57,0.7,3.31,0.22,2.0,7.0,22.0,8.0,0.59,3.62,8.0,7.0,10.0,5.0,0.0,0.0,,,96.0,67.0,11.0,2.0,6.0,0.0,0.0,0.0,60.0,40.0,3.62,0.59,Bet365,1.33,1.45,5.0,4.5,7.0,5.5,16.0,14.118055555555555,3.61,3.61,2.7100000000000004,2.5600000000000005,0.9,0.7200000000000001,3.3000000000000003,0.0,24.0,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.5700000000000001,0.0,0.28,0.22,0.0,8.0
