game_id,rec_h,rec_a,h_xg_all,h_npxg,h_xg_open,h_xg_openstr,h_xg_sp,h_xg_level,h_xgot_sum,h_pens,h_shots_n,a_xg_all,a_npxg,a_xg_open,a_xg_openstr,a_xg_sp,a_xg_level,a_xgot_sum,a_pens,a_shots_n
4610161,1,2,1.02,0.23,0.22,0.22,0.01,0.18,0.94,1.0,5.0,2.02,2.02,1.83,1.4,0.19,0.96,1.64,0.0,23.0
4610162,1,0,0.7000000000000001,0.7000000000000001,0.62,0.61,0.0799999999999999,0.48,1.0,0.0,14.0,1.3,0.51,0.42,0.41,0.09,0.23,1.21,1.0,13.0
4610163,3,0,1.29,1.29,1.26,1.04,0.03,0.26,1.76,0.0,15.0,0.8400000000000002,0.8400000000000002,0.7600000000000001,0.7600000000000001,0.08,0.12,0.46,0.0,12.0
4610164,0,4,1.1900000000000002,1.1900000000000002,1.15,1.14,0.04,0.0,0.32,0.0,10.0,2.11,2.11,2.11,1.09,0.0,0.5900000000000001,2.58,0.0,11.0
4610165,2,2,2.0700000000000003,1.28,0.29,0.22,0.99,0.2299999999999999,1.66,1.0,13.0,1.2800000000000002,1.2800000000000002,1.2800000000000002,0.8500000000000001,0.0,1.2400000000000002,1.1800000000000002,0.0,15.0
4610166,2,4,1.2300000000000002,0.44,0.44,0.44,0.0,0.18,1.04,1.0,6.0,3.43,3.43,3.36,3.15,0.07,1.1700000000000002,4.03,0.0,27.0
4610167,3,0,1.33,1.33,1.29,1.1700000000000002,0.04,0.41,1.53,0.0,13.0,0.45,0.45,0.45,0.42,0.0,0.0,0.05,0.0,10.0
4610168,0,3,0.19,0.19,0.19,0.19,0.0,0.02,0.0699999999999999,0.0,5.0,2.0900000000000003,2.0900000000000003,2.0900000000000003,1.13,0.0,1.21,2.72,0.0,15.0
4610169,0,1,0.7700000000000001,0.7700000000000001,0.52,0.47,0.25,0.3,0.31,0.0,12.0,0.9900000000000002,0.9900000000000002,0.9300000000000002,0.6100000000000001,0.06,0.11,0.27,0.0,13.0
4610170,0,1,0.7300000000000002,0.7300000000000002,0.7300000000000002,0.7200000000000002,0.0,0.17,0.1,0.0,14.0,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,1.08,1.03,0.0,9.0
4610171,1,0,1.3300000000000003,1.3300000000000003,1.2600000000000002,0.9300000000000002,0.07,1.3300000000000003,1.54,0.0,15.0,0.6400000000000001,0.6400000000000001,0.6100000000000001,0.5400000000000001,0.03,0.51,0.2299999999999999,0.0,13.0
4610172,1,2,2.97,2.18,2.18,1.7800000000000005,0.0,0.85,2.9600000000000004,1.0,23.0,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.0,0.41,0.64,0.0,7.0
4610173,2,3,1.8600000000000003,1.0700000000000005,1.0500000000000005,0.9000000000000001,0.02,0.8200000000000001,1.93,1.0,15.0,0.64,0.64,0.64,0.51,0.0,0.24,0.95,0.0,8.0
4610174,1,0,0.98,0.98,0.96,0.96,0.02,0.98,1.04,0.0,2.0,0.6400000000000001,0.6400000000000001,0.56,0.35,0.08,0.26,0.31,0.0,11.0
4610175,0,2,0.74,0.74,0.6099999999999999,0.58,0.13,0.03,0.01,0.0,14.0,0.7300000000000001,0.7300000000000001,0.7200000000000001,0.5700000000000001,0.01,0.17,1.1,0.0,7.0
4610176,1,1,0.97,0.97,0.95,0.94,0.02,0.97,0.72,0.0,14.0,1.13,1.13,1.01,1.01,0.12,1.1,0.36,0.0,9.0
4610177,2,2,1.28,1.28,0.6200000000000001,0.3299999999999999,0.66,0.0999999999999999,1.51,0.0,13.0,3.1299999999999994,3.1299999999999994,3.05,2.68,0.08,1.0,3.48,0.0,23.0
4610178,1,0,1.7800000000000002,0.99,0.79,0.77,0.2,0.0,1.29,1.0,14.0,0.63,0.63,0.6,0.56,0.03,0.04,0.04,0.0,6.0
4610179,1,3,0.82,0.82,0.82,0.82,0.0,0.5,0.29,0.0,6.0,1.0,1.0,1.0,0.98,0.0,0.8200000000000001,2.01,0.0,13.0
4610180,4,2,1.4500000000000002,1.4500000000000002,1.32,1.32,0.13,0.15,3.21,0.0,15.0,0.36,0.36,0.36,0.35,0.0,0.0,1.44,0.0,6.0
4610181,2,3,1.05,1.05,0.81,0.4999999999999999,0.24,0.4899999999999999,0.8799999999999999,0.0,10.0,1.8300000000000003,1.8300000000000003,1.6300000000000003,1.5100000000000002,0.2,1.63,1.6800000000000002,0.0,16.0
4610182,2,0,1.3200000000000005,1.3200000000000005,1.3200000000000005,1.2600000000000002,0.0,0.9,1.34,0.0,10.0,0.53,0.53,0.53,0.38,0.0,0.11,0.1,0.0,12.0
4610183,2,0,1.8500000000000003,1.8500000000000003,1.81,0.95,0.04,1.5100000000000005,1.4700000000000002,0.0,26.0,0.6400000000000001,0.6400000000000001,0.5700000000000001,0.41,0.07,0.5800000000000001,0.14,0.0,12.0
4610184,0,3,2.0900000000000003,1.3000000000000005,1.2300000000000004,0.7800000000000001,0.07,0.26,1.59,1.0,18.0,1.3500000000000003,0.56,0.53,0.2299999999999999,0.03,0.0,1.3400000000000003,1.0,8.0
4645135,0,1,0.6300000000000001,0.6300000000000001,0.53,0.53,0.1,0.03,0.05,0.0,9.0,0.54,0.54,0.54,0.54,0.0,0.12,0.16,0.0,8.0
4645136,0,1,1.3600000000000003,1.3600000000000003,1.0300000000000002,1.0000000000000002,0.3299999999999999,0.14,1.01,0.0,23.0,0.78,0.78,0.78,0.27,0.0,0.65,0.69,0.0,12.0
4645137,0,2,0.5900000000000001,0.5900000000000001,0.5900000000000001,0.4399999999999999,0.0,0.22,0.53,0.0,11.0,2.1,1.31,1.29,0.35,0.02,0.64,1.66,1.0,12.0
4645138,0,2,1.1,1.1,0.96,0.79,0.14,1.0,1.04,0.0,13.0,4.569999999999999,3.78,3.72,3.6100000000000008,0.06,3.1,2.4200000000000004,1.0,22.0
4645139,1,1,0.72,0.72,0.63,0.61,0.09,0.48,0.8400000000000001,0.0,15.0,1.11,1.11,0.88,0.88,0.2299999999999999,0.47,1.16,0.0,12.0
4645140,1,0,1.95,1.95,1.84,1.6500000000000004,0.11,1.3800000000000003,1.54,0.0,23.0,0.7200000000000001,0.7200000000000001,0.52,0.44,0.2,0.7200000000000001,0.1699999999999999,0.0,8.0
4645141,1,3,0.7,0.7,0.55,0.32,0.15,0.29,0.85,0.0,10.0,2.26,2.26,1.9700000000000009,1.9700000000000009,0.29,0.4700000000000001,0.77,0.0,20.0
4650099,1,1,0.7100000000000001,0.7100000000000001,0.7100000000000001,0.7100000000000001,0.0,0.7100000000000001,0.89,0.0,11.0,2.37,2.37,1.97,1.34,0.3999999999999999,1.8200000000000005,1.58,0.0,15.0
4650100,0,1,0.81,0.81,0.7000000000000001,0.67,0.11,0.79,0.8500000000000001,0.0,16.0,0.8300000000000001,0.8300000000000001,0.8,0.8,0.03,0.8300000000000001,0.56,0.0,8.0
4650101,2,3,1.9,0.32,0.12,0.12,0.2,0.06,1.72,2.0,9.0,0.7000000000000001,0.7000000000000001,0.66,0.65,0.04,0.58,1.05,0.0,13.0
4650102,1,1,0.54,0.54,0.43,0.25,0.11,0.4600000000000001,0.12,0.0,8.0,2.0500000000000003,2.0500000000000003,1.97,1.33,0.08,1.81,1.0,0.0,22.0
4650103,5,0,2.02,1.23,1.16,1.0,0.07,0.27,3.64,1.0,14.0,0.94,0.94,0.87,0.87,0.07,0.05,0.27,0.0,11.0
4650104,1,1,0.45,0.45,0.41,0.39,0.04,0.4,1.02,0.0,10.0,1.7200000000000002,1.7200000000000002,1.05,1.05,0.6699999999999999,0.83,2.33,0.0,16.0
4650105,2,0,0.83,0.83,0.81,0.81,0.02,0.47,1.39,0.0,10.0,0.93,0.93,0.49,0.4000000000000001,0.44,0.8200000000000001,0.39,0.0,11.0
4650106,2,3,0.49,0.49,0.23,0.23,0.26,0.23,1.1800000000000002,0.0,4.0,2.47,1.6800000000000002,1.6800000000000002,1.67,0.0,1.33,2.35,1.0,19.0
4650107,1,0,1.5100000000000002,1.5100000000000002,1.2000000000000002,1.09,0.31,0.46,0.6200000000000001,0.0,17.0,0.9400000000000004,0.9400000000000004,0.9400000000000004,0.6900000000000002,0.0,0.0,0.15,0.0,13.0
4650108,2,2,2.28,1.49,1.49,1.49,0.0,1.25,2.1100000000000003,1.0,9.0,1.1800000000000004,1.1800000000000004,0.8400000000000002,0.5599999999999999,0.34,0.45,1.29,0.0,11.0
